NPs	coresize	hydrosize	surfcharge	surfarea	Hsf	Ec	Ev	MeO	Cellline	Celltype	Expotime	dosage	enthalpy	ratio	e	esum	esumbyo	MW	NMetal	NOxygen	ox	viability	class
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	0.001	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	92.5258	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	0.01	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	96.134	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	0.1	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	93.5567	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	1	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	97.6804	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	5	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	94.8454	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	10	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	96.3918	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	20	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	92.268	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	50	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	92.268	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	24	100	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	82.732	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	12	0.001	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	95.6897	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	12	0.01	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	94.4828	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	12	0.1	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	96.8966	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	12	1	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	99.4828	nonToxic
Al2O3	39.7	267	36.3	64.7	-17.345	-1.51	-9.81	5.67	HCMEC	Normal	12	5	1187.83	5.556	1.61	3.22	1.073	101.96	2	3	3	94.6552	nonToxic
